EpochTime,DOA,Confidence,Strength
2567,134,9,-649
3011,123,3,-649
18053,229,22,-662
18440,73,21,-661
18932,91,24,-662
19328,89,39,-661
19760,278,17,-663
20205,68,15,-663
20656,286,14,-661
21076,265,20,-660
21516,85,27,-659
21964,94,17,-661
22391,245,23,-660
22836,84,23,-660
23253,77,30,-659
23691,71,28,-664
24139,83,23,-662
24575,90,21,-663
25009,89,24,-655
25448,74,24,-660
25880,74,22,-661
26328,93,29,-662
26749,261,27,-662
27198,88,21,-662
27625,253,16,-661
28065,82,25,-661
28503,79,19,-661
28964,79,22,-660
29398,75,30,-659
29807,264,18,-662
30252,92,36,-663
30709,91,29,-656
31130,87,12,-660
31586,105,25,-659
32000,88,25,-660
32441,76,34,-662
32892,82,15,-657
33307,281,18,-662
33747,80,38,-661
34203,82,32,-659
34613,88,16,-664
35077,260,12,-662
35496,80,31,-663
35928,77,24,-661
36380,75,20,-661
36804,78,20,-661
37255,258,25,-661
37683,86,31,-662
38119,73,27,-660
38568,98,19,-660
38989,88,18,-662
39435,78,18,-660
39876,84,24,-661
40314,80,25,-662
40739,78,9,-662
41160,88,27,-659
41624,88,18,-661
42049,250,25,-660
42488,270,18,-661
42919,86,17,-662
43365,258,23,-658
43808,80,37,-661
44224,256,14,-659
44667,77,25,-662
45124,243,17,-662
45541,69,17,-662
45986,94,15,-660
46427,89,17,-663
46861,70,24,-659
47324,94,24,-663
47733,79,27,-659
48177,246,17,-660
48598,78,23,-662
49057,95,24,-661
49484,73,37,-660
49928,82,19,-663
50356,49,212,-439
50796,51,203,-363
51227,51,200,-362
51669,51,200,-361
52101,51,200,-362
52544,52,195,-360
52980,52,194,-360
53409,52,193,-360
53873,52,193,-359
54324,52,192,-359
54716,52,191,-359
55156,52,191,-359
55589,52,191,-359
56052,52,191,-359
56448,52,191,-359
56924,53,191,-359
57352,52,191,-359
57772,52,192,-359
58228,51,194,-360
58656,49,193,-361
59095,48,194,-362
59536,48,196,-365
59968,48,196,-364
60397,48,195,-364
60835,47,196,-363
61277,50,192,-361
61720,53,189,-361
62148,52,194,-363
62592,51,195,-363
63036,52,193,-363
63469,52,197,-364
